Name,Times accessed,Date accessed,Date modified,Date created,Size(in bytes),URL
10_Coordination Compound_230219_193612.pdf,58,06-03-2024 19.08,19-02-2023 21.13,19-02-2023 21.13,989,F:\Rushil\ADVANCE ASHRAM\10_Coordination Compound_230219_193612.pdf
10_Modern Physics_2_230223_212536.pdf,19,06-03-2024 19.08,24-02-2023 21.44,24-02-2023 21.44,876,F:\Rushil\ADVANCE ASHRAM\10_Modern Physics_2_230223_212536.pdf
10_SOT_ TE_AUC_ DE_230223_212618.pdf,91,06-03-2024 19.08,24-02-2023 21.45,24-02-2023 21.45,980,"F:\Rushil\ADVANCE ASHRAM\10_SOT, TE, AUC, DE_230223_212618.pdf"
11_Geometrical Optics_1_230227_160444.pdf,33,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,345,F:\Rushil\ADVANCE ASHRAM\11_Geometrical Optics_1_230227_160444.pdf
11_Metallurgy_230223_212607.pdf,45,06-03-2024 19.08,24-02-2023 21.45,24-02-2023 21.44,76,F:\Rushil\ADVANCE ASHRAM\11_Metallurgy_230223_212607.pdf
11_Vector & 3-D_1_230227_160407.pdf,60,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.06,874,F:\Rushil\ADVANCE ASHRAM\11_Vector & 3-D_1_230227_160407.pdf
12_Biomolecules_230223_212556.pdf,92,06-03-2024 19.08,24-02-2023 21.44,24-02-2023 21.44,0,F:\Rushil\ADVANCE ASHRAM\12_Biomolecules_230223_212556.pdf
12_Geometrical Optics_2_230227_160502.pdf,20,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,321,F:\Rushil\ADVANCE ASHRAM\12_Geometrical Optics_2_230227_160502.pdf
12_Vector & 3-D_2_230227_160420.pdf,66,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,453,F:\Rushil\ADVANCE ASHRAM\12_Vector & 3-D_2_230227_160420.pdf
13_BT & P&C +Probability_1_230302_135902.pdf,79,06-03-2024 19.08,02-03-2023 17.02,02-03-2023 17.02,654,F:\Rushil\ADVANCE ASHRAM\13_BT & P&C +Probability_1_230302_135902.pdf
13_BT & P&C +Probability_1_230306_201215.pdf,87,06-03-2024 19.08,06-03-2023 21.33,06-03-2023 21.32,876,F:\Rushil\ADVANCE ASHRAM\13_BT & P&C +Probability_1_230306_201215.pdf
13_P BLOCK_230227_160434.pdf,56,06-03-2024 19.08,27-02-2023 16.07,27-02-2023 16.07,98,F:\Rushil\ADVANCE ASHRAM\13_P BLOCK_230227_160434.pdf
13_WAVE Optics_230302_135837.pdf,54,06-03-2024 19.08,02-03-2023 17.02,02-03-2023 17.02,734,F:\Rushil\ADVANCE ASHRAM\13_WAVE Optics_230302_135837.pdf
14_BT & P&C +Probability_2_230302_135851.pdf,99,06-03-2024 19.08,02-03-2023 17.02,02-03-2023 17.02,0,F:\Rushil\ADVANCE ASHRAM\14_BT & P&C +Probability_2_230302_135851.pdf
14_BT & P&C +Probability_2_230306_201229.pdf,62,06-03-2024 19.08,06-03-2023 21.33,06-03-2023 21.33,765,F:\Rushil\ADVANCE ASHRAM\14_BT & P&C +Probability_2_230306_201229.pdf
14_d & f-Block elements_230302_135926.pdf,64,06-03-2024 19.08,02-03-2023 17.03,02-03-2023 17.03,873,F:\Rushil\ADVANCE ASHRAM\14_d & f-Block elements_230302_135926.pdf
14_Errors_230306_201136.pdf,61,06-03-2024 19.08,06-03-2023 21.32,06-03-2023 21.32,81,F:\Rushil\ADVANCE ASHRAM\14_Errors_230306_201136.pdf
15_Chemical Bonding_230302_135915.pdf,49,06-03-2024 19.08,02-03-2023 17.03,02-03-2023 17.03,543,F:\Rushil\ADVANCE ASHRAM\15_Chemical Bonding_230302_135915.pdf
15_Gravitation & Elasticity_230313_203530.pdf,73,06-03-2024 19.08,14-03-2023 6.36,14-03-2023 6.35,421,F:\Rushil\ADVANCE ASHRAM\15_Gravitation & Elasticity_230313_203530.pdf
15_Probability_230306_201200.pdf,42,06-03-2024 19.08,06-03-2023 21.32,06-03-2023 21.32,342,F:\Rushil\ADVANCE ASHRAM\15_Probability_230306_201200.pdf
16_Complex Number_1_230313_203620.pdf,62,06-03-2024 19.08,14-03-2023 6.35,14-03-2023 6.34,643,F:\Rushil\ADVANCE ASHRAM\16_Complex Number_1_230313_203620.pdf
16_Fluid Dynamics_1_230320_130234.pdf,12,06-03-2024 19.08,20-03-2023 13.35,20-03-2023 13.35,893,F:\Rushil\ADVANCE ASHRAM\16_Fluid Dynamics_1_230320_130234.pdf
16_Mole & Equivalent Concepts_230306_201147.pdf,29,06-03-2024 19.08,06-03-2023 21.32,06-03-2023 21.32,625,F:\Rushil\ADVANCE ASHRAM\16_Mole & Equivalent Concepts_230306_201147.pdf
17_Complex Number_2_230313_203609.pdf,26,06-03-2024 19.08,14-03-2023 6.35,14-03-2023 6.35,439,F:\Rushil\ADVANCE ASHRAM\17_Complex Number_2_230313_203609.pdf
17_Fluid Dynamics_2_230320_130223.pdf,17,06-03-2024 19.08,20-03-2023 13.34,20-03-2023 13.34,45,F:\Rushil\ADVANCE ASHRAM\17_Fluid Dynamics_2_230320_130223.pdf
17_Gaseous State_230306_201120.pdf,38,06-03-2024 19.08,06-03-2023 21.32,06-03-2023 21.32,86,F:\Rushil\ADVANCE ASHRAM\17_Gaseous State_230306_201120.pdf
18_Nomenclature & Isomerism_230313_203547.pdf,83,06-03-2024 19.08,14-03-2023 6.35,14-03-2023 6.35,765,F:\Rushil\ADVANCE ASHRAM\18_Nomenclature & Isomerism_230313_203547.pdf
18_QE & Log_230320_130245.pdf,93,06-03-2024 19.08,20-03-2023 13.35,20-03-2023 13.35,0,F:\Rushil\ADVANCE ASHRAM\18_QE & Log_230320_130245.pdf
19_GOC_230313_203557.pdf,12,06-03-2024 19.08,14-03-2023 6.35,14-03-2023 6.35,87,F:\Rushil\ADVANCE ASHRAM\19_GOC_230313_203557.pdf
19_Thermo_KTG_1_230330_172152.pdf,41,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,865,F:\Rushil\ADVANCE ASHRAM\19_Thermo_KTG_1_230330_172152.pdf
1_Electrostatics_Sheet_1.pdf,29,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,453,F:\Rushil\ADVANCE ASHRAM\1_Electrostatics_Sheet_1.pdf
20_Atomic Structure & General chemistry_230320_130209.pdf,58,06-03-2024 19.08,20-03-2023 13.34,20-03-2023 13.34,654,F:\Rushil\ADVANCE ASHRAM\20_Atomic Structure & General chemistry_230320_130209.pdf
20_Thermo_KTG_2_230330_172140.pdf,19,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.34,435,F:\Rushil\ADVANCE ASHRAM\20_Thermo_KTG_2_230330_172140.pdf
21_Chemical Equilibrium_230330_172202.pdf,91,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,196,F:\Rushil\ADVANCE ASHRAM\21_Chemical Equilibrium_230330_172202.pdf
21_Parabola_230330_172213.pdf,33,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,672,F:\Rushil\ADVANCE ASHRAM\21_Parabola_230330_172213.pdf
21_SHM_230330_172316.pdf,45,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,711,F:\Rushil\ADVANCE ASHRAM\21_SHM_230330_172316.pdf
22_Ellipse & Hyperbola_1_230330_172250.pdf,60,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,319,F:\Rushil\ADVANCE ASHRAM\22_Ellipse & Hyperbola_1_230330_172250.pdf
22_WAVES_1_230330_172339.pdf,92,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,0,F:\Rushil\ADVANCE ASHRAM\22_WAVES_1_230330_172339.pdf
23_Ellipse & Hyperbola_2_230330_172240.pdf,20,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,76,F:\Rushil\ADVANCE ASHRAM\23_Ellipse & Hyperbola_2_230330_172240.pdf
23_WAVES_2_230330_172305.pdf,66,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,731,F:\Rushil\ADVANCE ASHRAM\23_WAVES_2_230330_172305.pdf
24_Kinematicspmd_230330_172447.pdf,79,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,186,F:\Rushil\ADVANCE ASHRAM\24_Kinematicspmd_230330_172447.pdf
24_s-block + Hydrogen and it's compounds_230330_172328.pdf,87,06-03-2024 19.08,30-03-2023 17.35,30-03-2023 17.35,0,F:\Rushil\ADVANCE ASHRAM\24_s-block + Hydrogen and it's compounds_230330_172328.pdf
25_Law of Motion_ Fricton_Circular_230330_172427.pdf,56,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,237,F:\Rushil\ADVANCE ASHRAM\25_Law of Motion_ Fricton_Circular_230330_172427.pdf
25_Thermodynamics_230330_172457.pdf,54,06-03-2024 19.08,30-03-2023 17.40,30-03-2023 17.40,98,F:\Rushil\ADVANCE ASHRAM\25_Thermodynamics_230330_172457.pdf
26_Thermochemistry_230330_172437.pdf,99,06-03-2024 19.08,30-03-2023 17.39,30-03-2023 17.39,542,F:\Rushil\ADVANCE ASHRAM\26_Thermochemistry_230330_172437.pdf
2_Electrostatics_Sheet_2.pdf,62,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,764,F:\Rushil\ADVANCE ASHRAM\2_Electrostatics_Sheet_2.pdf
2_FUNCTION & ITF_1_230213_180338.pdf,64,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,643,F:\Rushil\ADVANCE ASHRAM\2_FUNCTION & ITF_1_230213_180338.pdf
2_Liquid_Solution.pdf,61,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,821,F:\Rushil\ADVANCE ASHRAM\2_Liquid_Solution.pdf
3_Capacitance_230213_180414.pdf,49,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,195,F:\Rushil\ADVANCE ASHRAM\3_Capacitance_230213_180414.pdf
3_FUNCTION & ITF_2_230213_180322.pdf,73,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,76,F:\Rushil\ADVANCE ASHRAM\3_FUNCTION & ITF_2_230213_180322.pdf
3_Halogen Derivative_230213_180401.pdf,42,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,87,F:\Rushil\ADVANCE ASHRAM\3_Halogen Derivative_230213_180401.pdf
3_Matrix__Determinants.pdf,62,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,376,F:\Rushil\ADVANCE ASHRAM\3_Matrix__Determinants.pdf
3_Solid_State.pdf,12,06-03-2024 19.08,11-02-2023 17.01,11-02-2023 17.01,299,F:\Rushil\ADVANCE ASHRAM\3_Solid_State.pdf
4_Aromatic Compound_230213_180350.pdf,29,06-03-2024 19.08,13-02-2023 23.26,13-02-2023 23.26,98,F:\Rushil\ADVANCE ASHRAM\4_Aromatic Compound_230213_180350.pdf
4_Current Electricity_1_230216_122614.pdf,26,06-03-2024 19.09,16-02-2023 21.28,16-02-2023 21.28,87,F:\Rushil\ADVANCE ASHRAM\4_Current Electricity_1_230216_122614.pdf
4_LCD & MOD_1_230216_122514.pdf,17,06-03-2024 19.09,16-02-2023 23.22,16-02-2023 23.22,54,F:\Rushil\ADVANCE ASHRAM\4_LCD & MOD_1_230216_122514.pdf
5_Current Electricity_2_230216_122555.pdf,38,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,98,F:\Rushil\ADVANCE ASHRAM\5_Current Electricity_2_230216_122555.pdf
5_Electrochemistry_230216_122540.pdf,83,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,5431,F:\Rushil\ADVANCE ASHRAM\5_Electrochemistry_230216_122540.pdf
5_LCD & MOD_2_230216_122501.pdf,93,06-03-2024 19.09,16-02-2023 23.22,16-02-2023 23.22,674,F:\Rushil\ADVANCE ASHRAM\5_LCD & MOD_2_230216_122501.pdf
6_AOD_1_230218_111458.pdf,12,06-03-2024 19.09,18-02-2023 12.26,18-02-2023 12.26,676,F:\Rushil\ADVANCE ASHRAM\6_AOD_1_230218_111458.pdf
6_CHEMICAL KINETICS_230216_122527.pdf,41,06-03-2024 19.09,16-02-2023 21.30,16-02-2023 21.30,654,F:\Rushil\ADVANCE ASHRAM\6_CHEMICAL KINETICS_230216_122527.pdf
6_Magnetism_230218_111337.pdf,29,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,883,F:\Rushil\ADVANCE ASHRAM\6_Magnetism_230218_111337.pdf
7_AOD_2_230218_111448.pdf,58,06-03-2024 19.09,18-02-2023 12.26,18-02-2023 12.26,324,F:\Rushil\ADVANCE ASHRAM\7_AOD_2_230218_111448.pdf
7_Carboxylic acid & Amines_230218_111350.pdf,19,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,234,F:\Rushil\ADVANCE ASHRAM\7_Carboxylic acid & Amines_230218_111350.pdf
7_EMI & AC_1_230219_193709.pdf,91,06-03-2024 19.09,19-02-2023 21.14,19-02-2023 21.14,0,F:\Rushil\ADVANCE ASHRAM\7_EMI & AC_1_230219_193709.pdf
8_Alcohol & Carbonyl compound_230218_111402.pdf,33,06-03-2024 19.09,18-02-2023 12.27,18-02-2023 12.27,356,F:\Rushil\ADVANCE ASHRAM\8_Alcohol & Carbonyl compound_230218_111402.pdf
8_EMI & AC_2_230219_193700.pdf,45,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,526,F:\Rushil\ADVANCE ASHRAM\8_EMI & AC_2_230219_193700.pdf
8_Integration_1_230219_193649.pdf,60,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,656,F:\Rushil\ADVANCE ASHRAM\8_Integration_1_230219_193649.pdf
9_Integration_2_230219_193637.pdf,92,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,655,F:\Rushil\ADVANCE ASHRAM\9_Integration_2_230219_193637.pdf
9_Modern Physics_1_230223_212545.pdf,20,06-03-2024 19.09,24-02-2023 21.44,24-02-2023 21.44,356,F:\Rushil\ADVANCE ASHRAM\9_Modern Physics_1_230223_212545.pdf
9_Surface chemistry_230219_193626.pdf,66,06-03-2024 19.09,19-02-2023 21.13,19-02-2023 21.13,0,F:\Rushil\ADVANCE ASHRAM\9_Surface chemistry_230219_193626.pdf
GOC_230207_172843.pdf,79,06-03-2024 19.09,07-02-2023 17.32,07-02-2023 17.32,654,F:\Rushil\ADVANCE ASHRAM\GOC_230207_172843.pdf
JEE_ADV_-2023_SCHEDULE.pdf,87,06-03-2024 19.09,11-02-2023 17.00,11-02-2023 17.00,754,F:\Rushil\ADVANCE ASHRAM\JEE_ADV_-2023_SCHEDULE.pdf
,,,,,,
